1-G
2-F
3-A
4-B
5-C
6-D
7-E

impossible: K M Q V W X

char	EDCBAFG1	hex
0	00000011	03
1	11001111	CF
2	00100101	25
3	10000101	85
4	11001001	C9
5	10010001	91
6	00010001	11
7	11000111	C7
8	00000001	01
9	10000001	81
A	01000001	41
b	00011001	19
C	00110011	33
c	00111101	3D
d	00001101	0D
E	00110001	31

char	EDCBAFG1	hex

F	01110001	71
g = 9	10000001	81
H	01001001	49
h	01011001	59
I	01111011	7B
J	10001111	8F
L	00111011	3B
N	01011101	5D
O = 0	00000011	03
o	00011101	1D
P	01100001	61
R	01111101	7D
S = 5	10010001	91
T	00111001	39
U	00001011	0B
u	00011111	1F

char	EDCBAFG1	hex

y	10001001	89
Z = 2	00100101	25
-	11111101	FD
